Barnets	Barnets
ha	ha
vist	vise
mer	mye
varsomhet	varsomhet
i	i
sitt	sin
engasjement	engasjement
,	$,
noe	noe
Justisdepartementet	Justisdepartementet
sier	si
seg	seg
enig	enig
i	i
.	$.

En	en
veldig	veldig
ubehagelig	ubehagelig
opplevelse	opplevelse
.	$.

I	i
2001	2001
topper	toppe
det	det
seg	seg
.	$.

En	en
barnefordelingssak	barnefordelingssak
ender	ende
i	i
flere	mange
av	av
landets	land
største	stor
aviser	avis
.	$.

En	en
far	far
har	ha
gått	gå
rettens	rett
vei	vei
for	for
å	å
få	få
samvær	samvær
med	med
barna	barn
.	$.

Mor	mor
anmelder	anmelde
faren	fare
for	for
å	å
ha	ha
misbrukt	misbruke
sønnen	sønn
.	$.

Anmeldelsen	Anmeldelsen
blir	bli
henlagt	henlagt
,	$,
men	men
er	være
likevel	likevel
et	en
tema	tema
under	under
rettssaken	rettssak
.	$.

Dommer	dommer
Bertelsen	Bertelsen
finner	finne
ikke	ikke
bevis	bevis
for	for
seksuelle	seksuell
overgrep	overgrep
og	og
gir	gi
faren	fare
samvær	samvær
annenhver	annenhver
helg	helg
.	$.

Da	da
blir	bli
det	det
bråk	bråk
.	$.

Barnas	Barnas
mor	mor
og	og
tre	tre
vitner	vitne
sender	sende
i	i
ettertid	ettertid
skriftlige	skriftlig
klager	klage
til	til
Justisdepartementet	Justisdepartementet
.	$.

Bertelsen	Bertelsen
blir	bli
beskyldt	beskylde
for	for
å	å
ha	ha
vært	være
forutinntatt	forutinntatt
,	$,
sjikanerende	sjikanerende
og	og
kvinnefiendtlig	kvinnefiendtlig
.	$.

-	$-
Arrogant	Arrogant
.	$.

Det	det
var	være
det	det
han	han
var	være
.	$.

Jeg	jeg
trodde	tro
ikke	ikke
at	at
dommere	dommer
kunne	kunne
være	være
sånn	sånn
.	$.

Det	det
er	være
jo	jo
helt	hel
grunnleggende	grunnleggende
at	at
du	du
skal	skulle
føle	føle
deg	du
trygg	trygg
når	når
du	du
kommer	komme
inn	inn
i	i
en	en
rettssal	rettssal
.	$.

Men	men
jeg	jeg
ble	bli
møtt	møte
av	av
det	det
helt	hel
motsatte	motsatt
,	$,
sier	si
tanten	tanten
til	til
barna	barn
striden	striden
dreide	dreie
seg	seg
om	om
.	$.

Moren	mor
anker	anker
dommen	dom
.	$.

Gulating	Gulating
lagmannsrett	lagmannsrett
omgjør	omgjøre
så	så
Bertelsens	Bertelsen
dom	dom
.	$.

Far	far
mister	miste
samværsretten	samværsretten
.	$.

I	i
dommen	dom
fra	fra
2002	2002
skriver	skrive
lagmannsretten	lagmannsrett
at	at
det	det
var	være
«	$"
mye	mye
som	som
kan	kunne
tyde	tyde
på	på
at	at
overgrep	overgrep
har	ha
funnet	finne
sted	sted
.	$.

Lagmannsretten	Lagmannsretten
har	ha
likevel	likevel
for	for
sin	sin
avgjørelse	avgjørelse
ikke	ikke
funnet	finne
det	det
nødvendig	nødvendig
å	å
gå	gå
nærmere	nær
inn	inn
på	på
dette	dette
eller	eller
å	å
ta	ta
stilling	stilling
til	til
det	det
»	$"
.	$.

Bertelsen	Bertelsen
hadde	ha
dermed	dermed
lidd	lide
et	en
kraftig	kraftig
nederlag	nederlag
som	som
fagperson	fagperson
-	$-
og	og
fikk	få
blant	blant
annet	annen
refs	refs
i	i
media	medium
.	$.

Det	det
som	som
ikke	ikke
fikk	få
like	like
mye	mye
oppmerksomhet	oppmerksomhet
,	$,
var	være
at	at
saken	sak
senere	sen
tok	ta
en	en
annen	annen
vending	vending
.	$.

Faren	fare
brakte	brakte
nemlig	nemlig
saken	sak
til	til
Menneskerettighetsdomstolen	Menneskerettighetsdomstolen
i	i
Strasbourg	Strasbourg
.	$.

I	i
2007	2007
konkluderte	konkludere
domstolen	domstol
med	med
at	at
staten	stat
hadde	ha
krenket	krenke
farens	far
grunnleggende	grunnleggende
familiemessige	familiemessige
rettigheter	rettighet
.	$.

Strasbourg	Strasbourg
tok	ta
ikke	ikke
stilling	stilling
til	til
Bertelsens	Bertelsen
opptreden	opptreden
i	i
rettssalen	rettssal
,	$,
men	men
konklusjonen	konklusjonen
ble	bli
at	at
Bertelsen	Bertelsen
hadde	ha
rett	rett
og	og
lagmannsretten	lagmannsrett
tok	ta
feil	feil
.	$.

Bertelsens	Bertelsen
advokat	advokat
,	$,
Georg	Georg
Kvande	Kvande
,	$,
reagerer	reagere
på	på
kritikken	kritikk
Bertelsen	Bertelsen
fikk	få
.	$.

-	$-
Det	det
er	være
uforståelig	uforståelig
at	at
Bertelsen	Bertelsen
er	være
kritisert	kritisere
for	for
sin	sin
rolle	rolle
.	$.

Ettertiden	Ettertiden
viste	vise
jo	jo
at	at
det	det
var	være
han	han
som	som
skrev	skrive
en	en
korrekt	korrekt
dom	dom
.	$.

Bertelsen	Bertelsen
burde	burde
fått	få
honnør	honnør
,	$,
sier	si
Kvande	Kvande
.	$.

Paragrafrytteri	Paragrafrytteri
.	$.

Bertelsen	Bertelsen
hevder	hevde
at	at
han	han
er	være
utsatt	utsette
for	for
en	en
vendetta	vendetta
fra	fra
sine	sin
ledere	leder
i	i
Bergen	Bergen
tinghus	tinghus
.	$.

At	at
de	de
lenge	lenge
har	ha
villet	ville
bli	bli
kvitt	kvitt
ham	han
,	$,
og	og
bruker	bruke
alt	alt
de	de
kan	kunne
mot	mot
ham	han
.	$.

Sommeren	sommer
2009	2009
ble	bli
avdelingsleder	avdelingsleder
Ove	Ove
Kjell	Kjell
Hole	Hole
klar	klar
over	over
at	at
Bertelsen	Bertelsen
snakket	snakke
med	med
barn	barn
i	i
familiesaker	familiesaker
alene	alene
,	$,
uten	uten
bruk	bruk
av	av
sakkyndig	sakkyndig
.	$.

Holes	Holes
konklusjon	konklusjon
var	være
:	$:

«	$"
Dette	dette
var	være
i	i
strid	strid
med	med
den	den
aksepterte	aksepterte
saksbehandlingen	saksbehandling
etter	etter
barneloven	barnelov
,	$,
og	og
i	i
strid	strid
med	med
den	den
praksis	praksis
som	som
følges	følge
av	av
alle	all
andre	annen
dommere	dommer
i	i
disse	disse
sakene	sak
.	$.
»	$"

DA	DA
sluttet	slutte
seg	seg
til	til
anklagen	anklagen
og	og
mente	mene
den	den
illustrerte	illustrere
Bertelsens	Bertelsen
avvikende	avvikende
atferd	atferd
.	$.

Men	men
var	være
det	det
noe	noe
formelt	formell
i	i
veien	vei
med	med
praksisen	praksis
?	$?

Både	både
Bertelsen	Bertelsen
og	og
hans	hans
advokat	advokat
mener	mene
Domstolsadministrasjonen	Domstolsadministrasjonen
ikke	ikke
kan	kunne
ha	ha
satt	sette
seg	seg
skikkelig	skikkelig
inn	inn
i	i
Barnelovens	Barnelovens
bestemmelser	bestemmelse
|	$|

-	$-
Jeg	jeg
konstaterer	konstatere
at	at
jeg	jeg
fikk	få
kritikk	kritikk
for	for
å	å
følge	følge
loven	lov
,	$,
sier	si
Bertelsen	Bertelsen
,	$,
og	og
viser	vise
til	til
lovteksten	lovteksten
:	$:

«	$"
Dommaren	Dommaren
kan	kan
gjennomføre	gjennomføre
samtalar	samtalar
med	med
barnet	barnet
,	$,
jf.	jf.
paragraf	paragraf
32	32
.	$.

Retten	Retten
kan	kan
oppnemne	oppnemne
en	en
sakkunnig	sakkunnig
eller	eller
anna	anna
eigna	eigna
person	person
til	til
å	å
hjelpe	hjelpe
seg	seg
,	$,
eller	eller
la	la
ein	ein
sakkunnig	sakkunnig
ha	ha
samtale	samtale
med	med
barnet	barnet
aleine	aleine
.	$.
»	$"

Andre	annen
dommere	dommer
som	som
innbyttere	innbytter
.	$.

Bertelsen	Bertelsen
får	få
ikke	ikke
bare	bare
kritikk	kritikk
for	for
opptredenen	opptredenen
i	i
rettssalen	rettssal
.	$.

Ifølge	ifølge
arbeidsgiveren	arbeidsgiver
kommer	komme
han	han
heller	heller
ikke	ikke
på	på
jobb	jobb
når	når
han	han
skal	skulle
.	$.

De	de
mener	mene
han	han
har	ha
et	en
høyt	høy
og	og
ureglementert	ureglementert
fravær	fravær
gjennom	gjennom
mange	mange
år	år
.	$.

2.	2.
juni	juni
2010	2010
møtte	møte
Bertelsen	Bertelsen
avdelingsdirektør	avdelingsdirektør
Willy	Willy
Nesset	Nesset
i	i
Domstolsadministrasjonen	Domstolsadministrasjonen
.	$.

Bertelsen	Bertelsen
hadde	ha
med	med
seg	seg
sin	sin
advokat	advokat
,	$,
Georg	Georg
Kvande	Kvande
.	$.

Sorenskriver	Sorenskriver
Kari	Kari
Johanne	Johanne
Bjørnøy	Bjørnøy
deltok	delta
også	også
.	$.

I	i
møtereferatet	møtereferatet
står	stå
det	det
at	at
«	$"
man	man
etter	etter
utallige	utallig
episoder	episode
stiller	stille
spørsmål	spørsmål
ved	ved
om	om
Bertelsen	Bertelsen
er	være
skikket	skikket
til	til
å	å
være	være
dommer	dommer
»	$"
.	$.

DA	DA
hevder	hevde
at	at
Bertelsens	Bertelsen
uteblivelser	uteblivelser
fra	fra
jobb	jobb
har	ha
ført	føre
til	til
at	at
andre	annen
dommere	dommer
har	ha
måttet	måtte
steppe	steppe
inn	inn
og	og
ta	ta
over	over
jobben	jobb
på	på
meget	meget
kort	kort
varsel	varsel
-	$-
noe	noe
som	som
har	ha
vært	være
et	en
stort	stor
irritasjonsmoment	irritasjonsmoment
internt	intern
.	$.

Flere	mange
kolleger	kollega
skal	skulle
ha	ha
ført	føre
lister	lister
over	over
Bertelsens	Bertelsen
fravær	fravær
.	$.

En	en
av	av
dem	de
som	som
irriterte	irritere
seg	seg
,	$,
var	være
Åge	Åge
Fred	Fred
Pedersen	Pedersen
,	$,
avdelingsleder	avdelingsleder
på	på
Tinghuset	Tinghuset
.	$.

Han	han
skrev	skrive
i	i
mars	mars
2002	2002
et	en
brev	brev
til	til
Tor	Tor
Bertelsen	Bertelsen
,	$,
der	der
han	han
kom	komme
med	med
påstander	påstand
om	om
ureglementert	ureglementert
fravær	fravær
.	$.

Han	han
hevder	hevde
at	at
Bertelsen	Bertelsen
«	$"
ofte	ofte
kommer	komme
altfor	altfor
sent	sen
på	på
arbeid	arbeid
.	$.

Jeg	jeg
har	ha
selv	selv
flere	mange
ganger	gang
sett	se
deg	du
komme	komme
løpende	løpende
ca.	ca.
kl.	kl.
09.30	09.30
,	$,
når	når
rettsmøtet	rettsmøtet
skulle	skulle
begynne	begynne
.	$.

Alle	alle
,	$,
inkl.	inkl.
meddommere	meddommer
har	ha
da	da
sittet	sitte
klar	klar
i	i
retten	rett
og	og
ventet	vente
»	$"
.	$.

Bertelsen	Bertelsen
avviser	avvise
at	at
han	han
har	ha
hatt	ha
høyt	høy
ureglementert	ureglementert
fravær	fravær
.	$.

-	$-
Det	det
var	være
ett	én
rettsmøte	rettsmøte
der	der
jeg	jeg
kom	komme
ti	ti
minutter	minutt
for	for
sent	sen
for	for
en	en
del	del
år	år
siden	siden
.	$.

De	de
dagene	dag
jeg	jeg
ikke	ikke
har	ha
hatt	ha
rettsmøter	rettsmøter
,	$,
ville	ville
jeg	jeg
ikke	ikke
sitte	sitte
uvirksom	uvirksom
og	og
dingle	dingle
med	med
beina	bein
.	$.

Da	da
fikk	få
jeg	jeg
beskjed	beskjed
om	om
at	at
jeg	jeg
skulle	skulle
gjøre	gjøre
nettopp	nettopp
det	det
,	$,
sier	si
Bertelsen	Bertelsen
.	$.

Fire	fire
måneder	måned
etter	etter
møtet	møte
skriver	skrive
DA	DA
sin	sin
saksfremstilling	saksfremstilling
til	til
Justisdepartementet	Justisdepartementet
.	$.

Fraværet	Fraværet
er	være
et	en
av	av
momentene	momentene
i	i
suspensjons-	suspensjons-
og	og
avskjedssaken	avskjedssaken
.	$.

Blir	bli
Bertelsen	Bertelsen
feiltolket	feiltolket
?	$?

De	de
som	som
er	være
positive	positiv
til	til
Bertelsen	Bertelsen
,	$,
sier	si
at	at
en	en
uformell	uformell
stil	stil
fører	føre
til	til
at	at
han	han
gjerne	gjerne
blir	bli
misforstått	misforstå
.	$.

-	$-
I	i
våre	vår
saker	sak
har	ha
han	han
vært	være
konstruktiv	konstruktiv
i	i
forberedelsene	forberedelse
sine	sin
og	og
tatt	ta
kontakt	kontakt
på	på
forhånd	forhånd
for	for
å	å
diskutere	diskutere
med	med
oss	vi
.	$.

Bertelsen	Bertelsen
tør	tørre
også	også
å	å
gi	gi
uttrykk	uttrykk
for	for
usikkerhet	usikkerhet
og	og
er	være
mottakelig	mottakelig
for	for
råd	råd
under	under
saksforberedelsene	saksforberedelsene
.	$.

For	for
meg	jeg
er	være
dette	dette
positivt	positiv
,	$,
sier	si
advokat	advokat
Trygve	Trygve
Langeland	Langeland
Matre	Matre
.	$.

Han	han
er	være
daglig	daglig
leder	leder
i	i
firmaet	firma
1-2-3	1-2-3
Advokaten	Advokaten
,	$,
som	som
til	til
sammen	sammen
har	ha
hatt	ha
fem-seks	fem-seks
saker	sak
med	med
Bertelsen	Bertelsen
som	som
dommer	dommer
.	$.

Gjennom	gjennom
media	medium
kjenner	kjenne
advokaten	advokaten
til	til
klagesakene	klagesakene
som	som
er	være
knyttet	knytte
til	til
Bertelsen	Bertelsen
.	$.

-	$-
Jeg	jeg
opplever	oppleve
ham	han
som	som
velmenende	velmenende
,	$,
selv	selv
om	om
han	han
som	som
mange	mange
andre	annen
kan	kunne
være	være
litt	litt
klønete	klønete
en	en
gang	gang
i	i
blant	blant
,	$,
sier	si
Langeland	Langeland
Matre	Matre
.	$.

Bertelsens	Bertelsen
sjef	sjef
mener	mene
han	han
er	være
mer	mye
enn	enn
klønete	klønete
.	$.

I	i
2010	2010
forsto	forstå
Bertelsen	Bertelsen
at	at
han	han
trengte	trenge
juridisk	juridisk
bistand	bistand
.	$.

Advokat	advokat
Georg	Georg
Kvande	Kvande
,	$,
en	en
bekjent	bekjent
gjennom	gjennom
flere	mange
år	år
,	$,
ble	bli
kontaktet	kontakte
.	$.

Kvande	Kvande
ringte	ringe
så	så
sorenskriver	sorenskriver
Kari	Kari
Johanne	Johanne
Bjørnøy	Bjørnøy
for	for
å	å
få	få
saksdokumentene	saksdokumentene
.	$.

-	$-
I	i
telefonsamtalen	telefonsamtalen
med	med
meg	jeg
sa	si
hun	hun
flere	mange
ganger	gang
at	at
hun	hun
mente	mene
at	at
Bertelsen	Bertelsen
var	være
gal	gal
.	$.

Jeg	jeg
ble	bli
overrasket	overraske
over	over
at	at
sorenskriveren	sorenskriver
sa	si
dette	dette
,	$,
men	men
jeg	jeg
kunne	kunne
jo	jo
heller	heller
ikke	ikke
utelukke	utelukke
at	at
det	det
var	være
tilfelle	tilfelle
,	$,
ettersom	ettersom
jeg	jeg
ikke	ikke
hadde	ha
hatt	ha
jevnlig	jevnlig
kontakt	kontakt
med	med
Bertelsen	Bertelsen
,	$,
sier	si
Kvande	Kvande
.	$.

Han	han
fikk	få
oversendt	oversendt
det	det
skriftlige	skriftlig
materialet	materiale
og	og
begynte	begynne
å	å
gå	gå
gjennom	gjennom
papirene	papirene
.	$.

Kvande	Kvande
satte	sette
seg	seg
ned	ned
for	for
å	å
lese	lese
de	de
over	over
375	375
sidene	side
med	med
informasjon	informasjon
som	som
han	han
hadde	ha
gått	gå
tilgang	tilgang
til	til
.	$.

Jo	jo
mer	mye
Kvande	Kvande
leste	lese
,	$,
jo	jo
mer	mye
undret	undret
han	han
seg	seg
over	over
innholdet	innhold
i	i
permene	permene
.	$.

-	$-
Jeg	jeg
fant	finne
ingenting	ingenting
som	som
etter	etter
min	min
vurdering	vurdering
kunne	kunne
gi	gi
grunnlag	grunnlag
for	for
å	å
reise	reise
avskjedssak	avskjedssak
mot	mot
Bertelsen	Bertelsen
.	$.

Og	og
det	det
var	være
ingenting	ingenting
som	som
tydet	tydet
på	på
at	at
han	han
var	være
gal	gal
,	$,
sier	si
Kvande	Kvande
.	$.

Bertelsen	Bertelsen
politianmeldte	politianmelde
sorenskriveren	sorenskriver
for	for
ærekrenkelse	ærekrenkelse
.	$.

Anmeldelsen	Anmeldelsen
ble	bli
henlagt	henlagt
etter	etter
kort	kort
tid	tid
.	$.

En	en
knusende	knusende
konklusjon	konklusjon
.	$.

Domstoladministrasjonen	Domstoladministrasjonen
har	ha
også	også
meninger	mening
om	om
Bertelsens	Bertelsen
psyke	psyke
.	$.

I	i
en	en
redegjørelse	redegjørelse
til	til
departementet	departement
går	gå
de	de
gjennom	gjennom
Bertelsens	Bertelsen
karriere	karriere
ved	ved
Bergen	Bergen
tingrett	tingrett
og	og
lister	lister
opp	opp
anklagepunktene	anklagepunktene
mot	mot
ham	han
.	$.

Konklusjonen	konklusjon
er	være
meget	meget
krass	krass
.	$.

Bertelsen	Bertelsen
har	ha
«	$"
avvikende	avvikende
virkelighetsoppfatning	virkelighetsoppfatning
»	$"
og	og
«	$"
sviktende	svikte
vurderingsevne	vurderingsevne
»	$"
,	$,
mener	mene
de	de
.	$.

Han	han
har	ha
rigide	rigid
holdninger	holdning
og	og
viser	vise
ustabilitet	ustabilitet
i	i
jobbutførelsen	jobbutførelse
.	$.

-	$-
Domstoladministrasjonen	Domstoladministrasjonen
har	ha
nærmest	nær
fattet	fatte
vedtak	vedtak
om	om
at	at
jeg	jeg
er	være
sinnssyk	sinnssyk
,	$,
sier	si
Bertelsen	Bertelsen
om	om
anklagene	anklage
.	$.

Advokaten	Advokaten
hans	hans
mener	mene
DA	DA
går	gå
langt	lang
over	over
streken	strek
.	$.

-	$-
Domstoladministrasjonen	Domstoladministrasjonen
har	ha
ikke	ikke
kompetanse	kompetanse
til	til
å	å
fastslå	fastslå
om	om
en	en
dommer	dommer
fremviser	fremvise
avvikende	avvikende
virkelighetsoppfatning	virkelighetsoppfatning
.	$.

Dersom	dersom
man	man
har	ha
mistanke	mistanke
om	om
at	at
det	det
er	være
tilfelle	tilfelle
,	$,
må	måtte
det	det
undersøkes	undersøkes
av	av
psykiater	psykiater
.	$.

Det	det
er	være
kritikkverdig	kritikkverdig
at	at
de	de
skriver	skrive
dette	dette
uten	uten
å	å
kunne	kunne
dokumentere	dokumentere
det	det
,	$,
sier	si
advokat	advokat
Georg	Georg
Kvande	Kvande
.	$.

Til	til
tross	tross
for	for
den	den
knusende	knusende
attesten	attesten
mot	mot
Bertelsen	Bertelsen
i	i
2010	2010
,	$,
vil	ville
ikke	ikke
Justisdepartementet	Justisdepartementet
at	at
det	det
skal	skulle
reises	reise
avskjedssak	avskjedssak
.	$.

Under	under
sterk	sterk
tvil	tvil
sier	si
de	de
også	også
nei	nei
til	til
å	å
suspendere	suspendere
ham	han
.	$.

Dermed	dermed
fortsetter	fortsette
Bertelsen	Bertelsen
å	å
lede	lede
rettsmøter	rettsmøter
,	$,
selv	selv
om	om
hans	hans
egen	egen
arbeidsgiver	arbeidsgiver
mener	mene
han	han
har	ha
en	en
psykisk	psykisk
lidelse	lidelse
som	som
er	være
en	en
trussel	trussel
mot	mot
rettssikkerheten	rettssikkerhet
.	$.

Frem	frem
til	til
i	i
vår	vår
