penger	penge
ville	ville
du	du
gitt	gi
for	for
å	å
se	se
ut	ut
som	som
jentene	jente
på	på
coveret	cover
?	$?

-	$-
Det	det
hadde	ha
jeg	jeg
ikke	ikke
gitt	gi
mye	mye
for	for
.	$.

Hvorfor	hvorfor
skal	skulle
jeg	jeg
se	se
ut	ut
som	som
dem	de
?	$?

Hvis	hvis
det	det
hadde	ha
vært	være
en	en
suksessfaktor	suksessfaktor
,	$,
ville	ville
jeg	jeg
jo	jo
bare	bare
kommet	komme
lenger	lang
og	og
lengre	lang
unna	unna
suksessen	suksessen
.	$.

Så	så
tenner	tenne
hun	hun
en	en
rød	rød
Prince	Prince
.	$.

Hun	hun
pleide	pleie
å	å
røyke	røyke
25	25
.	$.

Nå	nå
bevilger	bevilge
hun	hun
seg	seg
fem	fem
om	om
dagen	dag
,	$,
og	og
hun	hun
ligger	ligge
etter	etter
skjema	skjema
.	$.

Hun	hun
har	ha
i	i
hvert	hver
fall	fall
én	én
igjen	igjen
.	$.

-	$-
Jeg	jeg
har	ha
alltid	alltid
trodd	tro
at	at
ingen	ingen
vonde	vond
ting	ting
i	i
verden	verden
vil	ville
ramme	ramme
meg	jeg
,	$,
som	som
sykdom	sykdom
eller	eller
bilulykker	bilulykker
.	$.

Da	da
har	ha
jeg	jeg
heller	heller
tenkt	tenke
på	på
oldefaren	oldefaren
min	min
som	som
røyket	røyket
til	til
han	han
var	være
96	96
.	$.

Men	men
i	i
høst	høst
har	ha
jeg	jeg
fått	få
signaler	signal
både	både
fra	fra
kroppen	kropp
og	og
fra	fra
legen	lege
.	$.

Det	det
er	være
tvingende	tvingende
nødvendig	nødvendig
å	å
slutte	slutte
.	$.

Likevel	likevel
kan	kunne
det	det
være	være
lett	lett
å	å
glemme	glemme
de	de
to	to
tallene	tall
.	$.

4	4
og	og
7	7
.	$.

-	$-
Gjennomsnittsalderen	Gjennomsnittsalderen
i	i
redaksjonen	redaksjon
,	$,
hvis	hvis
du	du
tar	ta
bort	bort
meg	jeg
,	$,
er	være
jo	jo
helt	hel
på	på
nivå	nivå
med	med
leseren	leser
.	$.

Men	men
jeg	jeg
har	ha
lett	lett
for	for
å	å
glemme	glemme
at	at
jeg	jeg
er	være
eldre	gammel
enn	enn
jentene	jente
jeg	jeg
jobber	jobbe
sammen	sammen
med	med
.	$.

Jeg	jeg
går	gå
jo	jo
på	på
fester	fester
der	der
alle	alle
er	være
femten	femten
år	år
yngre	ung
enn	enn
meg	jeg
,	$,
og	og
jeg	jeg
tenker	tenke
ikke	ikke
over	over
det	det
en	en
gang	gang
.	$.

Og	og
nå	nå
,	$,
en	en
gammel	gammel
historie	historie
.	$.

En	en
historie	historie
fortalt	fortelle
mange	mange
ganger	gang
.	$.

Men	men
den	den
tåler	tåle
en	en
gang	gang
til	til
,	$,
for	for
sjelden	sjelden
har	ha
vel	vel
en	en
tegning	tegning
av	av
Finn	Finn
Graff	Graff
fått	få
så	så
voldelige	voldelig
konsekvenser	konsekvens
.	$.

Det	det
var	være
tidlig	tidlig
på	på
totusentallet	totusentallet
og	og
Signy	Signy
Fardal	Fardal
hadde	ha
blitt	bli
portrettert	portrettert
her	her
i	i
Magasinet	Magasinet
.	$.

-	$-
Jeg	jeg
skulle	skulle
ønske	ønske
den	den
historien	historie
var	være
død	død
og	og
begravet	begravet
.	$.

Hovedpersonen	hovedperson
,	$,
foruten	foruten
Fardal	Fardal
,	$,
var	være
nåværende	nåværende
politisk	politisk
redaktør	redaktør
i	i
Dagbladet	Dagbladet
,	$,
Marie	Marie
Simonsen	Simonsen
.	$.

De	de
hadde	ha
tidligere	tidlig
jobbet	jobbe
sammen	sammen
i	i
Dagens	Dagens
Næringsliv	Næringsliv
i	i
mange	mange
år	år
.	$.

Nå	nå
var	være
de	de
på	på
Aschehougs	Aschehougs
hagefest	hagefest
.	$.

-	$-
Det	det
var	være
en	en
kveld	kveld
jeg	jeg
var	være
veldig	veldig
høyt	høy
oppe	oppe
.	$.

Fotograf	Fotograf
Morten	Morten
Krogvold	Krogvold
hadde	ha
sett	se
tegningen	tegningen
Finn	Finn
Graff	Graff
hadde	ha
gjort	gjøre
av	av
meg	jeg
og	og
ga	gi
meg	jeg
en	en
masse	masse
komplimenter	kompliment
.	$.

-	$-
Kalte	Kalte
han	han
deg	du
ikke	ikke
Norges	Norge
eneste	eneste
sexsymbol	sexsymbol
?	$?

-	$-
Ja	ja
...	$...
ha-ha	ha-ha
...	$...
noe	noe
sånt	sånt
.	$.

Men	men
du	du
vet	vite
,	$,
litt	litt
vin	vin
og	og
hagefest	hagefest
.	$.

Jeg	jeg
gjentok	gjenta
nok	nok
disse	disse
komplimentene	komplimentene
en	en
del	del
ganger	gang
utover	utover
kvelden	kveld
.	$.

Og	og
Marie	Marie
syntes	synes
nok	nok
jeg	jeg
gjentok	gjenta
dem	de
for	for
mange	mange
ganger	gang
.	$.

Etter	etter
hagefesten	hagefesten
satt	sette
de	de
på	på
Kunstnernes	Kunstnernes
Hus	Hus
.	$.

Signy	Signy
.	$.

Marie	Marie
.	$.

Og	og
jentene	jente
fra	fra
Elle	Elle
.	$.

-	$-
Så	så
satt	sette
hun	hun
og	og
gjentok	gjenta
alt	alt
jeg	jeg
hadde	ha
sagt	si
.	$.

Og	og
jeg	jeg
ba	be
henne	hun
slutte	slutte
.	$.

Marie	Marie
fortsatte	fortsette
.	$.

Og	og
så	så
klapset	klapset
jeg	jeg
til	til
henne	hun
.	$.

Hun	hun
fikk	få
heldigvis	heldigvis
ikke	ikke
blått	blå
øye	øye
,	$,
det	det
var	være
mer	mye
sånn	sånn
klask	klask
.	$.

Fardal	Fardal
holder	holde
fram	fram
den	den
åpne	åpen
håndflata	håndflate
.	$.

-	$-
Det	det
er	være
faktisk	faktisk
den	den
eneste	eneste
gangen	gang
jeg	jeg
har	ha
slått	slå
.	$.

Og	og
det	det
var	være
veldig	veldig
dumt	dum
.	$.

Men	men
,	$,
som	som
hun	hun
sier	si
,	$,
det	det
er	være
jo	jo
ikke	ikke
slik	slik
at	at
hun	hun
aldri	aldri
sier	si
noe	noe
dumt	dum
,	$,
aldri	aldri
har	ha
temperament	temperament
.	$.

-	$-
Det	det
finnes	finnes
nok	nok
mennesker	menneske
som	som
er	være
mer	mye
behersket	behersket
enn	enn
meg	jeg
,	$,
som	som
har	ha
bedre	god
kontroll	kontroll
over	over
hvem	hvem
de	de
framstår	framstå
som	som
.	$.

Sånn	sånn
er	være
ikke	ikke
jeg	jeg
.	$.

Jeg	jeg
er	være
rett	rett
og	og
slett	slett
for	for
lite	lite
polert	polert
.	$.

Jeg	jeg
danser	danse
på	på
tv	tv
.	$.

Snart	snar
kjører	kjøre
jeg	jeg
rally	rally
på	på
tv	tv
også	også
.	$.

Jeg	jeg
gjør	gjøre
jo	jo
ting	ting
jeg	jeg
ikke	ikke
kontrollerer	kontrollere
.	$.

Vi	vi
er	være
på	på
vei	vei
inn	inn
i	i
klesskapet	klesskap
til	til
Fardal	Fardal
.	$.

Samboeren	Samboeren
og	og
møbeldesigneren	møbeldesigneren
Tor	Tor
Gunnar	Gunnar
har	ha
snekret	snekre
det	det
.	$.

Hun	hun
åpner	åpne
den	den
store	stor
døra	dør
inn	inn
til	til
soverommet	soverom
.	$.

-	$-
Nå	nå
tror	tro
du	du
sikkert	sikker
at	at
det	det
er	være
mil	mil
på	på
mil	mil
.	$.

Det	det
er	være
jo	jo
ikke	ikke
det	det
.	$.

Nei	nei
.	$.

Men	men
det	det
er	være
da	da
ti	ti
hyller	hylle
med	med
høye	høy
hæler	hæl
,	$,
noen	noen
meter	meter
med	med
kjoler	kjole
,	$,
klær	klær
opp	opp
til	til
taket	tak
.	$.

Hun	hun
peker	peke
på	på
bunaden	bunaden
,	$,
holder	holde
fram	fram
en	en
rosa	rosa
kjole	kjole
.	$.

Går	gå
litt	litt
fram	fram
og	og
tilbake	tilbake
.	$.

-	$-
Nei	nei
.	$.

Nå	nå
ble	bli
det	det
litt	litt
for	for
meget	meget
.	$.

Så	så
lukker	lukke
hun	hun
døra	dør
.	$.

-	$-
Du	du
skal	skulle
liksom	liksom
ikke	ikke
bare	bare
drive	drive
med	med
mote	mote
i	i
Norge	Norge
,	$,
bare	bare
være	være
opptatt	opptatt
av	av
hva	hva
som	som
skjer	skje
på	på
catwalken	catwalk
.	$.

Det	det
eksisterer	eksistere
en	en
følelse	følelse
av	av
at	at
man	man
også	også
skal	skulle
drive	drive
med	med
noe	noe
som	som
er	være
allment	allment
akseptert	akseptere
som	som
viktig	viktig
.	$.

Fardal	Fardal
tapper	tapper
de	de
mørkelilla	mørkelilla
neglene	neglene
på	på
bordet	bord
.	$.

-	$-
At	at
jeg	jeg
driver	drive
med	med
mote	mote
,	$,
betyr	bety
jo	jo
ikke	ikke
at	at
jeg	jeg
er	være
endimensjonal	endimensjonal
.	$.

Jeg	jeg
har	ha
gjort	gjøre
mye	mye
annet	annen
.	$.

Jeg	jeg
kan	kunne
mye	mye
annet	annen
.	$.

Jeg	jeg
har	ha
andre	annen
interesser	interesse
.	$.

Men	men
jeg	jeg
elsker	elske
mote	mote
,	$,
jeg	jeg
shopper	shopper
mye	mye
,	$,
jeg	jeg
går	gå
alltid	alltid
i	i
høye	høy
hæler	hæl
,	$,
jeg	jeg
sminker	sminker
meg	jeg
mye	mye
,	$,
går	gå
med	med
masse	masse
smykker	smykke
.	$.

Alt	all
dette	dette
.	$.

Jeg	jeg
kan	kunne
ikke	ikke
sitte	sitte
som	som
sjefredaktør	sjefredaktør
for	for
et	en
ledende	lede
motemagasin	motemagasin
og	og
si	si
at	at
nå	nå
synes	synes
jeg	jeg
alle	alle
skal	skulle
ta	ta
på	på
seg	seg
Goretexjakke	Goretexjakke
og	og
Ulvangtrøye	Ulvangtrøye
.	$.

Det	det
ville	ville
ikke	ikke
ha	ha
vært	være
meg	jeg
heller	heller
.	$.

Skjønner	Skjønner
du	du
?	$?

-	$-
Brød	Brød
med	med
Omega-3	Omega-3
?	$?

Aldri	aldri
i	i
verden	verden
!	$!

Øyvind	Øyvind
Lofthus	Lofthus
er	være
en	en
av	av
Norges	Norge
beste	god
bakere	bakere
.	$.

Ekte	Ekte
vare	vare
:	$:

Hos	hos
bakeren	bakeren
kommer	komme
bare	bare
ekte	ekte
egg	egg
og	og
smør	smør
inn	inn
av	av
døra	dør
.	$.

Lys	Lys
inn	inn
:	$:

Elsa	Elsa
og	og
Øyvind	Øyvind
bor	bo
alle	alle
øverst	øvre
.	$.

Ved	ved
å	å
sette	sette
inn	inn
glassbyggerstein	glassbyggerstein
slipper	slippe
overlyset	overlyset
inn	inn
i	i
leiligheten	leilighet
.	$.

Skreddersydd	Skreddersydd
:	$:

Stua	Stua
er	være
akkurat	akkurat
passe	passe
stor	stor
for	for
pappa	pappa
og	og
Elsa	Elsa
.	$.

Bokhylla	Bokhylla
er	være
laget	lage
på	på
mål	mål
,	$,
på	på
TV-en	TV
er	være
Disneys	Disneys
«	$"
Tingeling	Tingeling
»	$"
hyppig	hyppig
gjest	gjest
.	$.

Britisk	Britisk
:	$:

Kjøkkenstolene	Kjøkkenstolene
kommer	komme
fra	fra
et	en
engelsk	engelsk
bedehus	bedehus
.	$.

Spisepause	Spisepause
:	$:

Når	når
man	man
har	ha
spist	spise
nok	nok
deig	deig
,	$,
må	måtte
man	man
spise	spise
andre	annen
ting	ting
.	$.

Veggen	Veggen
i	i
glassbyggerstein	glassbyggerstein
slipper	slippe
lys	lys
inn	inn
fra	fra
oppgangen	oppgangen
.	$.

Mat	Mat
for	for
øyet	øye
:	$:

Øyvind	Øyvind
elsker	elske
kunst	kunst
og	og
gjærbakst	gjærbakst
.	$.

Bildet	bilde
er	være
av	av
Pushwagner	Pushwagner
.	$.

Dansk	Dansk
:	$:

Øyvind	Øyvind
inviterer	invitere
ofte	ofte
på	på
middag	middag
.	$.

En	en
svær	svær
komfyr	komfyr
sto	stå
øverst	øvre
på	på
ønskelista	ønskelista
.	$.

Kjøkkeninnredningen	Kjøkkeninnredningen
er	være
laget	lage
av	av
en	en
dansk	dansk
snekker	snekker
,	$,
som	som
også	også
har	ha
bygd	bygge
klesskap	klesskap
og	og
hyller	hylle
.	$.

Samlemani	Samlemani
:	$:

Kjøkkenstolene	Kjøkkenstolene
med	med
kors	kors
i	i
ryggen	rygg
er	være
fra	fra
et	en
engelsk	engelsk
bedehus	bedehus
.	$.

20-talls	20-talls
lampene	lampene
i	i
taket	tak
er	være
originale	original
fra	fra
Dunlop-fabrikken	Dunlop-fabrikken
.	$.

Bildet	bilde
på	på
veggen	vegg
er	være
av	av
Heli	Heli
Rekula	Rekula
.	$.

Krydret	Krydret
:	$:

God	god
alene	alene
,	$,
bedre	god
med	med
konjakk	konjakk
eller	eller
foie	foie
gras	gras
,	$,
mener	mene
Øyvind	Øyvind
.	$.

Historieforteller	Historieforteller
:	$:

Taklampa	Taklampa
har	ha
hengt	henge
i	i
hovedkvarteret	hovedkvarter
til	til
Marks	Marks
&	&
Spencer	Spencer
.	$.

Allerede	allerede
i	i
døra	dør
hører	høre
man	man
knitringen	knitringen
.	$.

En	en
god	god
varme	varme
tar	ta
imot	imot
gjester	gjest
hjemme	hjemme
hos	hos
Øyvind	Øyvind
Lofthus	Lofthus
(	$(
42	42
)	$)
.	$.

-	$-
Jeg	jeg
elsker	elske
å	å
fyre	fyre
.	$.

Peisvarme	Peisvarme
er	være
noe	noe
annet	annen
,	$,
sier	si
han	han
.	$.

Fra	fra
kjøkkenet	kjøkken
dufter	dufter
nybakt	nybakt
.	$.

Et	en
brett	brett
pepperkaker	pepperkaker
er	være
i	i
ovnen	ovn
,	$,
og	og
på	på
benken	benk
står	stå
en	en
ferdig	ferdig
krydderkake	krydderkake
.	$.

Ved	ved
bordet	bord
sitter	sitte
datteren	datter
Elsa	Elsa
Aarokol	Aarokol
Lofthus	Lofthus
(	$(
5	5
)	$)
og	og
venninnen	venninne
Elisabeth	Elisabeth
Logan	Logan
(	$(
5	5
)	$)
med	med
munnen	munn
full	full
av	av
pepperkakedeig	pepperkakedeig
.	$.

-	$-
Julepepperkaker	Julepepperkaker
er	være
best	god
når	når
de	de
ikke	ikke
er	være
stekt	steke
,	$,
sier	si
Elsa	Elsa
.	$.

I	i
snart	snar
tre	tre
år	år
har	ha
de	de
bodd	bo
her	her
i	i
toppetasjen	toppetasjen
.	$.

Fra	fra
kjøkkenet	kjøkken
har	ha
de	de
utsikt	utsikt
mot	mot
St.	St.
Hanshaugen	Hanshaugen
og	og
Holmenkollen	Holmenkollen
,	$,
fra	fra
Øyvinds	Øyvinds
soverom	soverom
mot	mot
Ekebergåsen	Ekebergåsen
og	og
byen	by
.	$.

Kjøkken	Kjøkken
og	og
bad	bad
er	være
nye	ny
og	og
noen	noen
rom	rom
har	ha
byttet	bytte
plass	plass
.	$.

Er	være
man	man
baker	baker
og	og
matglad	matglad
,	$,
trenger	trenge
man	man
for	for
eksempel	eksempel
en	en
stor	stor
spisestue	spisestue
og	og
bare	bare
en	en
liten	liten
stue	stue
.	$.

Langbordet	Langbordet
er	være
ofte	ofte
fylt	fylle
av	av
venner	venn
.	$.

Stålrørsstolene	Stålrørsstolene
fra	fra
50-tallet	50-tall
står	stå
stablet	stablet
i	i
et	en
hjørne	hjørne
mellom	mellom
hver	hver
runde	runde
med	med
gjester	gjest
.	$.

Skulle	skulle
det	det
være	være
behov	behov
for	for
mer	mye
å	å
sitte	sitte
på	på
,	$,
har	ha
han	han
82	82
stoler	stol
til	til
.	$.

-	$-
Jeg	jeg
likte	like
dem	de
så	så
godt	god
at	at
jeg	jeg
kjøpte	kjøpe
90	90
stykker	stykke
.	$.

Jeg	jeg
går	gå
ikke	ikke
på	på
loppemarkeder	loppemarkeder
,	$,
men	men
er	være
nok	nok
en	en
skrotnisse	skrotnisse
.	$.

Jeg	jeg
kjøpte	kjøpe
en	en
stall	stall
i	i
Maridalsveien	Maridalsveien
også	også
.	$.

Ikke	ikke
bra	bra
,	$,
men	men
noen	noen
må	måtte
kjøpe	kjøpe
på	på
topp	topp
,	$,
sier	si
han	han
og	og
flirer	flirer
.	$.

De	de
siste	sist
åra	år
er	være
han	han
blitt	bli
god	god
kunde	kunde
hos	hos
en	en
engelskmann	engelskmann
som	som
kjøper	kjøpe
opp	opp
gammelt	gammel
interiør	interiør
.	$.

I	i
begge	begge
stuene	stuene
henger	henge
glasslamper	glasslamper
som	som
engang	engang
prydet	pryde
hovedkontoret	hovedkontoret
til	til
Marks	Marks
and	and
Spencer	Spencer
.	$.

Metall-lampene	Metall-lampene
på	på
kjøkkenet	kjøkken
kommer	komme
fra	fra
Dunlop-fabrikken	Dunlop-fabrikken
,	$,
stolene	stolene
fra	fra
et	en
engelsk	engelsk
bedehus	bedehus
.	$.

-	$-
Jeg	jeg
liker	like
industristilen	industristilen
og	og
klassisk	klassisk
design	design
,	$,
for	for
eksempel	eksempel
Eames	Eames
.	$.

Så	så
det	det
er	være
ikke	ikke
bare	bare
skrot	skrot
jeg	jeg
kjøper	kjøpe
.	$.

På	på
flere	mange
av	av
bakeriutsalgene	bakeriutsalgene
har	ha
vi	vi
investert	investere
mye	mye
i	i
interiøret	interiøret
.	$.

Jeg	jeg
samarbeider	samarbeide
med	med
en	en
designer	designer
og	og
vil	ville
at	at
detaljene	detalj
skal	skulle
være	være
tidsriktige	tidsriktige
,	$,
sier	si
han	han
.	$.

Vestlendingen	Vestlendingen
fra	fra
Lofthus	Lofthus
var	være
sikker	sikker
på	på
to	to
ting	ting
:	$:

Han	han
skulle	skulle
bli	bli
enten	enten
fisker	fisker
eller	eller
baker	baker
.	$.

Han	han
fisket	fisket
litt	litt
og	og
tilbrakte	tilbringe
deretter	deretter
tre	tre
år	år
på	på
sjøen	sjø
,	$,
ikke	ikke
som	som
fisker	fisker
,	$,
men	men
med	med
ungdommer	ungdom
i	i
et	en
museumsprosjekt	museumsprosjekt
.	$.

Så	så
la	legge
han	han
vekk	vekk
sjømannsplanene	sjømannsplanene
,	$,
pakket	pakke
ryggsekken	ryggsekk
,	$,
kjøpte	kjøpe
et	en
bra	bra
kamera	kamera
og	og
dro	dra
.	$.

I	i
årevis	årevis
reiste	reise
han	han
rundt	rundt
,	$,
som	som
turist	turist
,	$,
nysgjerrigper	nysgjerrigper
-	$-
og	og
bakertrainee	bakertrainee
.	$.

Jobbet	jobbe
ofte	ofte
gratis	gratis
for	for
å	å
lære	lære
håndverket	håndverk
av	av
de	de
nye	ny
«	$"
Artisan	Artisan
Bakeries	Bakeries
»	$"
i	i
California	California
og	og
hos	hos
konditormesteren	konditormesteren
Jørgen	Jørgen
Sørgaard	Sørgaard
i	i
København	København
.	$.

En	en
høst	høst
dro	dra
han	han
til	til
Oslo	Oslo
og	og
tok	ta
seg	seg
jobb	jobb
som	som
kelner	kelner
på	på
Engebret	Engebret
.	$.

Der	der
serverte	servere
han	han
lutefisk	lutefisk
mens	mens
han	han
drømte	drømme
om	om
surdeig	surdeig
,	$,
minimalt	minimalt
med	med
gjær	gjær
,	$,
lang	lang
hevetid	hevetid
og	og
steking	steking
i	i
steinovn	steinovn
.	$.

Tilfeldig	tilfeldig
kom	komme
han	han
over	over
et	en
lokale	lokale
,	$,
like	like
tilfeldig	tilfeldig
traff	treffe
han	han
den	den
franske	fransk
bakeren	bakeren
Emmanuel	Emmanuel
Rang	Rang
.	$.

«	$"
Norges	Norge
beste	god
baker	baker
,	$,
»	$"
sier	si
kompanjongen	kompanjongen
om	om
«	$"
Manu	Manu
»	$"
fra	fra
Lyon	Lyon
.	$.

Manu	Manu
hadde	ha
jobbet	jobbe
hos	hos
byens	by
beste	god
baker	baker
og	og
levert	levere
bakervarer	bakervarer
til	til
blant	blant
andre	annen
Paul	Paul
Bocuses	Bocuses
restaurant	restaurant
i	i
Lyon	Lyon
.	$.

Før	før
han	han
valgte	velge
Norge	Norge
,	$,
avslo	avslå
han	han
flere	mange
smigrende	smigre
tilbud	tilbud
fra	fra
utlandet	utland
.	$.

-	$-
En	en
morgen	morgen
viste	vise
jeg	jeg
Manu	Manu
et	en
bilde	bilde
av	av
en	en
stor	stor
gammel	gammel
ovn	ovn
.	$.

Den	den
kvelden	kveld
gikk	gå
vi	vi
og	og
tok	ta
en	en
øl	øl
.	$.

Vi	vi
bestemte	bestemme
oss	vi
samme	samme
kveld	kveld
,	$,
forteller	fortelle
Øyvind	Øyvind
.	$.

Vennene	Vennene
trodde	tro
på	på
dem	de
.	$.

Det	det
gjorde	gjøre
ikke	ikke
banken	bank
.	$.

Da	da
bladde	bladde
familie	familie
og	og
venner	venn
opp	opp
penger	penge
mens	mens
gutta	gutt
delte	dele
ut	ut
løpesedler	løpesedler
i	i
området	område
.	$.

Siden	siden
ble	bli
de	de
kjent	kjenne
for	for
å	å
lage	lage
Norges	Norge
beste	god
bagett	bagett
og	og
for	for
de	de
lange	lang
køene	kø
på	på
gata	gate
-	$-
de	de
minnet	minne
om	om
bilder	bilde
fra	fra
Sovjet-tida	Sovjet-tida
.	$.

-	$-
Det	det
går	gå
faktisk	faktisk
an	an
å	å
tjene	tjene
penger	penge
på	på
å	å
bake	bake
langsomt	langsom
,	$,
med	med
hendene	hånd
.	$.

Det	det
handler	handle
om	om
å	å
sette	sette
ting	ting
i	i
system	system
,	$,
starte	starte
tidlig	tidlig
nok	nok
.	$.

Mens	mens
en	en
deig	deig
hever	heve
,	$,
gjør	gjøre
man	man
noe	noe
annet	annen
,	$,
sier	si
Øyvind	Øyvind
mens	mens
han	han
forsiktig	forsiktig
rettleder	rettleder
de	de
to	to
jentene	jente
:	$:

-	$-
Legg	legge
formene	formene
litt	litt
tettere	tett
.	$.

Da	da
får	få
dere	dere
plass	plass
til	til
flere	mange
kaker	kake
og	og
slipper	slippe
å	å
kjevle	kjevle
så	så
ofte	ofte
.	$.

Elsa	Elsa
er	være
vokst	vokse
opp	opp
med	med
søndagsmorgener	søndagsmorgener
i	i
bakeri	bakeri
og	og
skal	skulle
ikke	ikke
bli	bli
baker	baker
.	$.

Å	å
ta	ta
ut	ut
melk	melk
og	og
passe	passe
surdeig	surdeig
er	være
ikke	ikke
like	like
koselig	koselig
som	som
å	å
bake	bake
hjemme	hjemme
.	$.

Venninnen	venninne
Elisabeth	Elisabeth
,	$,
derimot	derimot
,	$,
vurderer	vurdere
bakeryrket	bakeryrket
.	$.

Deig	Deig
smaker	smake
jo	jo
så	så
godt	god
!	$!

Akkurat	akkurat
nå	nå
er	være
de	de
litt	litt
lei	lei
.	$.

De	de
vil	ville
inn	inn
i	i
stua	stue
og	og
se	se
«	$"
Tingeling	Tingeling
»	$"
.	$.

Elsa	Elsa
bytter	bytte
ut	ut
«	$"
I	I
love	love
N.Y.	N.Y.
»	$"
-T-skjorta	-T-skjorta
med	med
prinsessekjole	prinsessekjole
.	$.

På	på
hodet	hode
har	ha
hun	hun
«	$"
pappahår	pappahår
»	$"
.	$.

-	$-
Hos	hos
mamma	mamma
er	være
hun	hun
alltid	alltid
nygredd	nygredd
og	og
fin	fin
.	$.

Jeg	jeg
skjønner	skjønne
ikke	ikke
hvordan	hvordan
mammaen	mamma
får	få
det	det
til	til
,	$,
sukker	sukke
Øyvind	Øyvind
.	$.

Han	han
bestikker	bestikker
jentene	jente
med	med
is	is
så	så
han	han
får	få
snakke	snakke
om	om
sine	sin
favorittemaer	favorittemaer
,	$,
baking	baking
og	og
kunst	kunst
.	$.

Han	han
tar	ta
bakingen	bakingen
først	først
.	$.

Han	han
snakker	snakke
på	på
inn-	inn-
og	og
utpust	utpust
om	om
«	$"
reine	reine
,	$,
naturlege	naturlege
smaker	smak
»	$"
,	$,
om	om
meierismør	meierismør
,	$,
melk	melk
,	$,
egg	egg
og	og
sjokolade	sjokolade
.	$.

Han	han
skyr	sky
eggepulver	eggepulver
,	$,
melkepulver	melkepulver
og	og
margarin	margarin
og	og
liker	like
ikke	ikke
tilsetninger	tilsetninger
.	$.

-	$-
Brød	Brød
med	med
Omega-3	Omega-3
?	$?

Aldri	aldri
i	i
verden	verden
!	$!

Om	om
ikke	ikke
Elsa	Elsa
får	få
i	i
seg	seg
nok	nok
Omega-3	Omega-3
i	i
